Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Unidade da Federação (Código),Unidade da Federação,Tipo de domicílio (Código),Tipo de domicílio,Grupo de idade (Código),Grupo de idade,Cor ou raça (Código),Cor ou raça,Ano (Código),Ano,Variável (Código),Variável
3,Unidade da Federação,45,Pessoas,6303,11,Rondônia,6815,Casa,1142,10 a 14 anos,2777,Preta,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,192,11,Rondônia,6815,Casa,1142,10 a 14 anos,2778,Amarela,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,70354,11,Rondônia,6815,Casa,1142,10 a 14 anos,2779,Parda,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,2009,11,Rondônia,6815,Casa,1142,10 a 14 anos,2780,Indígena,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,113029,11,Rondônia,6815,Casa,1143,15 a 19 anos,95251,Total,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,31787,11,Rondônia,6815,Casa,1143,15 a 19 anos,2776,Branca,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,8140,11,Rondônia,6815,Casa,1143,15 a 19 anos,2777,Preta,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,258,11,Rondônia,6815,Casa,1143,15 a 19 anos,2778,Amarela,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,70920,11,Rondônia,6815,Casa,1143,15 a 19 anos,2779,Parda,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,1923,11,Rondônia,6815,Casa,1143,15 a 19 anos,2780,Indígena,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
